MFCCs 30% Test 70% Train 
0.892 (+/-0.022) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 8, 'weights': 'distance'}
0.866 (+/-0.058) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 10, 'weights': 'uniform'}
0.889 (+/-0.030) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 10, 'weights': 'distance'}
0.886 (+/-0.046) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.898 (+/-0.039) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.886 (+/-0.027) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}
0.903 (+/-0.017) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.889 (+/-0.021) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 3, 'weights': 'uniform'}
0.898 (+/-0.020) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 3, 'weights': 'distance'}
0.874 (+/-0.031) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 5, 'weights': 'uniform'}
0.885 (+/-0.026) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 5, 'weights': 'distance'}
0.874 (+/-0.031) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 6, 'weights': 'uniform'}
0.886 (+/-0.027) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 6, 'weights': 'distance'}
0.874 (+/-0.030) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 8, 'weights': 'uniform'}
0.889 (+/-0.030) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 8, 'weights': 'distance'}
0.874 (+/-0.029) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 10, 'weights': 'uniform'}
0.889 (+/-0.036) para {'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 10, 'weights': 'distance'}
0.894 (+/-0.035) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}
0.900 (+/-0.038) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}
0.890 (+/-0.036) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}
0.898 (+/-0.030) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}
0.897 (+/-0.022) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 3, 'weights': 'uniform'}
0.904 (+/-0.021) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 3, 'weights': 'distance'}
0.896 (+/-0.031) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 5, 'weights': 'uniform'}
0.898 (+/-0.040) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 5, 'weights': 'distance'}
0.893 (+/-0.037) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 6, 'weights': 'uniform'}
0.896 (+/-0.043) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 6, 'weights': 'distance'}
0.884 (+/-0.030) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 8, 'weights': 'uniform'}
0.888 (+/-0.042) para {'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 8, 'weights': 'distance'}
