MFCCs 30% Test 70% Train 
0.895 (+/-0.042) para {'C': 1000, 'gamma': 10000, 'kernel': 'poly'}
0.512 (+/-0.063) para {'C': 10000, 'gamma': 0.0001, 'kernel': 'poly'}
0.919 (+/-0.052) para {'C': 10000, 'gamma': 0.001, 'kernel': 'poly'}
0.905 (+/-0.054) para {'C': 10000, 'gamma': 0.01, 'kernel': 'poly'}
0.894 (+/-0.044) para {'C': 10000, 'gamma': 0.1, 'kernel': 'poly'}
0.894 (+/-0.040) para {'C': 10000, 'gamma': 1, 'kernel': 'poly'}
0.895 (+/-0.041) para {'C': 10000, 'gamma': 10, 'kernel': 'poly'}
0.898 (+/-0.040) para {'C': 10000, 'gamma': 100, 'kernel': 'poly'}
0.893 (+/-0.039) para {'C': 10000, 'gamma': 1000, 'kernel': 'poly'}
0.895 (+/-0.042) para {'C': 10000, 'gamma': 10000, 'kernel': 'poly'}
LPCs 30% Test 70% Train 
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.01, 'kernel': 'poly'}
0.281 (+/-0.034) para {'C': 0.0001, 'gamma': 0.1, 'kernel': 'poly'}
0.402 (+/-0.033) para {'C': 0.0001, 'gamma': 1, 'kernel': 'poly'}
0.451 (+/-0.075) para {'C': 0.0001, 'gamma': 10, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.0001, 'gamma': 100, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.0001, 'gamma': 1000, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.0001, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.001, 'kernel': 'poly'}
0.225 (+/-0.024) para {'C': 0.001, 'gamma': 0.01, 'kernel': 'poly'}
0.312 (+/-0.037) para {'C': 0.001, 'gamma': 0.1, 'kernel': 'poly'}
0.441 (+/-0.061) para {'C': 0.001, 'gamma': 1, 'kernel': 'poly'}
0.454 (+/-0.066) para {'C': 0.001, 'gamma': 10, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.001, 'gamma': 100, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.001, 'gamma': 1000, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.001, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 0.001, 'kernel': 'poly'}
0.241 (+/-0.033) para {'C': 0.01, 'gamma': 0.01, 'kernel': 'poly'}
0.354 (+/-0.069) para {'C': 0.01, 'gamma': 0.1, 'kernel': 'poly'}
0.465 (+/-0.045) para {'C': 0.01, 'gamma': 1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.01, 'gamma': 10, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.01, 'gamma': 100, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.01, 'gamma': 1000, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.01, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
0.281 (+/-0.034) para {'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
0.402 (+/-0.033) para {'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
0.451 (+/-0.075) para {'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.1, 'gamma': 10, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.1, 'gamma': 100, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.1, 'gamma': 1000, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 0.1, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 1, 'gamma': 0.0001, 'kernel': 'poly'}
0.225 (+/-0.024) para {'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
0.313 (+/-0.036) para {'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
0.441 (+/-0.061) para {'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
0.454 (+/-0.066) para {'C': 1, 'gamma': 1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 1, 'gamma': 10, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 1, 'gamma': 100, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 1, 'gamma': 1000, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 1, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 10, 'gamma': 0.0001, 'kernel': 'poly'}
0.241 (+/-0.033) para {'C': 10, 'gamma': 0.001, 'kernel': 'poly'}
0.354 (+/-0.069) para {'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
0.465 (+/-0.045) para {'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10, 'gamma': 1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10, 'gamma': 10, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10, 'gamma': 100, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10, 'gamma': 1000, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 100, 'gamma': 0.0001, 'kernel': 'poly'}
0.281 (+/-0.034) para {'C': 100, 'gamma': 0.001, 'kernel': 'poly'}
0.402 (+/-0.033) para {'C': 100, 'gamma': 0.01, 'kernel': 'poly'}
0.451 (+/-0.075) para {'C': 100, 'gamma': 0.1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 100, 'gamma': 1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 100, 'gamma': 10, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 100, 'gamma': 100, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 100, 'gamma': 1000, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 100, 'gamma': 10000, 'kernel': 'poly'}
0.225 (+/-0.024) para {'C': 1000, 'gamma': 0.0001, 'kernel': 'poly'}
0.313 (+/-0.036) para {'C': 1000, 'gamma': 0.001, 'kernel': 'poly'}
0.441 (+/-0.061) para {'C': 1000, 'gamma': 0.01, 'kernel': 'poly'}
0.455 (+/-0.068) para {'C': 1000, 'gamma': 0.1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 1000, 'gamma': 1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 1000, 'gamma': 10, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 1000, 'gamma': 100, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 1000, 'gamma': 1000, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 1000, 'gamma': 10000, 'kernel': 'poly'}
0.241 (+/-0.033) para {'C': 10000, 'gamma': 0.0001, 'kernel': 'poly'}
0.354 (+/-0.069) para {'C': 10000, 'gamma': 0.001, 'kernel': 'poly'}
0.465 (+/-0.045) para {'C': 10000, 'gamma': 0.01, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10000, 'gamma': 0.1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10000, 'gamma': 1, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10000, 'gamma': 10, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10000, 'gamma': 100, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10000, 'gamma': 1000, 'kernel': 'poly'}
0.448 (+/-0.054) para {'C': 10000, 'gamma': 10000, 'kernel': 'poly'}
TOTAL 30% Test 70% Train 
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.001, 'kernel': 'poly'}
0.212 (+/-0.003) para {'C': 0.0001, 'gamma': 0.01, 'kernel': 'poly'}
0.847 (+/-0.042) para {'C': 0.0001, 'gamma': 0.1, 'kernel': 'poly'}
0.870 (+/-0.047) para {'C': 0.0001, 'gamma': 1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.0001, 'gamma': 10, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.0001, 'gamma': 100, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 0.0001, 'gamma': 1000, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 0.0001, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.001, 'kernel': 'poly'}
0.242 (+/-0.028) para {'C': 0.001, 'gamma': 0.01, 'kernel': 'poly'}
0.898 (+/-0.041) para {'C': 0.001, 'gamma': 0.1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.001, 'gamma': 1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.001, 'gamma': 10, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.001, 'gamma': 100, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 0.001, 'gamma': 1000, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 0.001, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 0.001, 'kernel': 'poly'}
0.637 (+/-0.040) para {'C': 0.01, 'gamma': 0.01, 'kernel': 'poly'}
0.889 (+/-0.024) para {'C': 0.01, 'gamma': 0.1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.01, 'gamma': 1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.01, 'gamma': 10, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.01, 'gamma': 100, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 0.01, 'gamma': 1000, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 0.01, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 0.0001, 'kernel': 'poly'}
0.212 (+/-0.003) para {'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
0.846 (+/-0.040) para {'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
0.870 (+/-0.047) para {'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.1, 'gamma': 10, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 0.1, 'gamma': 100, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 0.1, 'gamma': 1000, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 0.1, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 1, 'gamma': 0.0001, 'kernel': 'poly'}
0.242 (+/-0.028) para {'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
0.898 (+/-0.041) para {'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 1, 'gamma': 1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 1, 'gamma': 10, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 1, 'gamma': 100, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 1, 'gamma': 1000, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 1, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 10, 'gamma': 0.0001, 'kernel': 'poly'}
0.637 (+/-0.040) para {'C': 10, 'gamma': 0.001, 'kernel': 'poly'}
0.889 (+/-0.024) para {'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 10, 'gamma': 1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 10, 'gamma': 10, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 10, 'gamma': 100, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 10, 'gamma': 1000, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 10, 'gamma': 10000, 'kernel': 'poly'}
0.212 (+/-0.003) para {'C': 100, 'gamma': 0.0001, 'kernel': 'poly'}
0.846 (+/-0.040) para {'C': 100, 'gamma': 0.001, 'kernel': 'poly'}
0.870 (+/-0.047) para {'C': 100, 'gamma': 0.01, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 100, 'gamma': 0.1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 100, 'gamma': 1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 100, 'gamma': 10, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 100, 'gamma': 100, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 100, 'gamma': 1000, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 100, 'gamma': 10000, 'kernel': 'poly'}
0.242 (+/-0.028) para {'C': 1000, 'gamma': 0.0001, 'kernel': 'poly'}
0.898 (+/-0.041) para {'C': 1000, 'gamma': 0.001, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 1000, 'gamma': 0.01, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 1000, 'gamma': 0.1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 1000, 'gamma': 1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 1000, 'gamma': 10, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 1000, 'gamma': 100, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 1000, 'gamma': 1000, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 1000, 'gamma': 10000, 'kernel': 'poly'}
0.637 (+/-0.040) para {'C': 10000, 'gamma': 0.0001, 'kernel': 'poly'}
0.889 (+/-0.024) para {'C': 10000, 'gamma': 0.001, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 10000, 'gamma': 0.01, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 10000, 'gamma': 0.1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 10000, 'gamma': 1, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 10000, 'gamma': 10, 'kernel': 'poly'}
0.862 (+/-0.024) para {'C': 10000, 'gamma': 100, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 10000, 'gamma': 1000, 'kernel': 'poly'}
0.861 (+/-0.023) para {'C': 10000, 'gamma': 10000, 'kernel': 'poly'}
MFCCs1 30% Test 70% Train 
0.218 (+/-0.007) para {'C': 0.0001, 'gamma': 0.0001, 'kernel': 'poly'}
0.228 (+/-0.052) para {'C': 0.0001, 'gamma': 0.001, 'kernel': 'poly'}
0.546 (+/-0.068) para {'C': 0.0001, 'gamma': 0.01, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.0001, 'gamma': 0.1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.0001, 'gamma': 1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.0001, 'gamma': 10, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.0001, 'gamma': 100, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.0001, 'gamma': 1000, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.0001, 'gamma': 10000, 'kernel': 'poly'}
0.218 (+/-0.007) para {'C': 0.001, 'gamma': 0.0001, 'kernel': 'poly'}
0.268 (+/-0.091) para {'C': 0.001, 'gamma': 0.001, 'kernel': 'poly'}
0.576 (+/-0.074) para {'C': 0.001, 'gamma': 0.01, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.001, 'gamma': 0.1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.001, 'gamma': 1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.001, 'gamma': 10, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.001, 'gamma': 100, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.001, 'gamma': 1000, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.001, 'gamma': 10000, 'kernel': 'poly'}
0.218 (+/-0.007) para {'C': 0.01, 'gamma': 0.0001, 'kernel': 'poly'}
0.385 (+/-0.093) para {'C': 0.01, 'gamma': 0.001, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.01, 'gamma': 0.01, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.01, 'gamma': 0.1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.01, 'gamma': 1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.01, 'gamma': 10, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.01, 'gamma': 100, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.01, 'gamma': 1000, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.01, 'gamma': 10000, 'kernel': 'poly'}
0.228 (+/-0.052) para {'C': 0.1, 'gamma': 0.0001, 'kernel': 'poly'}
0.546 (+/-0.068) para {'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.1, 'gamma': 10, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.1, 'gamma': 100, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.1, 'gamma': 1000, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 0.1, 'gamma': 10000, 'kernel': 'poly'}
0.268 (+/-0.091) para {'C': 1, 'gamma': 0.0001, 'kernel': 'poly'}
0.576 (+/-0.074) para {'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
0.568 (+/-0.081) para {'C': 1, 'gamma': 1, 'kernel': 'poly'}
