MFCCs 30% Test 70% Train 
0.216 (+/-0.010) para {'C': 1000, 'gamma': 100, 'kernel': 'rbf'}
0.216 (+/-0.010) para {'C': 1000, 'gamma': 1000, 'kernel': 'rbf'}
0.216 (+/-0.010) para {'C': 1000, 'gamma': 10000, 'kernel': 'rbf'}
0.911 (+/-0.045) para {'C': 10000, 'gamma': 0.0001, 'kernel': 'rbf'}
0.915 (+/-0.053) para {'C': 10000, 'gamma': 0.001, 'kernel': 'rbf'}
0.906 (+/-0.020) para {'C': 10000, 'gamma': 0.01, 'kernel': 'rbf'}
0.899 (+/-0.036) para {'C': 10000, 'gamma': 0.1, 'kernel': 'rbf'}
0.915 (+/-0.039) para {'C': 10000, 'gamma': 1, 'kernel': 'rbf'}
0.280 (+/-0.031) para {'C': 10000, 'gamma': 10, 'kernel': 'rbf'}
0.216 (+/-0.010) para {'C': 10000, 'gamma': 100, 'kernel': 'rbf'}
0.216 (+/-0.010) para {'C': 10000, 'gamma': 1000, 'kernel': 'rbf'}
0.216 (+/-0.010) para {'C': 10000, 'gamma': 10000, 'kernel': 'rbf'}
MFCCs 30% Test 70% Train linear 
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.687 (+/-0.017) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.862 (+/-0.043) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.911 (+/-0.035) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.915 (+/-0.036) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.904 (+/-0.044) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.900 (+/-0.047) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.897 (+/-0.044) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.896 (+/-0.048) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
LPCs 30% Test 70% Train linear 
0.290 (+/-0.042) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.291 (+/-0.045) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.312 (+/-0.055) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.381 (+/-0.063) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
